j

DATE:	02/11/2017	TIME:	15:46:29
Initialising game took 20.24 us

Paint Game (ms)		Move made & Status			Health		Frame rate/s	Time/Frame (ms)	Screen messages
-----------------------------------------------------------------------------------------------------------
	17.99		UP    to GRASS   and FROG GONE 96.67%			55.41		18.05		EAGLE GOT A FROG
	43.82		DOWN  to SLIME   and ALIVE     96.67%			22.73		43.99		THAT'S SLIME!
	71.34		UP    to GRASS   and ALIVE     93.33%			14.01		71.36		
	64.59		UP    to GRASS   and ALIVE     90.00%			15.48		64.61		
	20.88		UP    to GRASS   and ALIVE     86.67%			47.86		20.89		
	20.81		UP    to GRASS   and ALIVE     83.33%			48.04		20.82		
	21.69		UP    to GRASS   and ALIVE     80.00%			46.08		21.70		
	16.72		UP    to WALL    and ALIVE     80.00%			59.34		16.85		THAT'S A WALL!
	62.02		UP    to WALL    and ALIVE     80.00%			16.08		62.19		THAT'S A WALL!
	45.82		UP    to WALL    and ALIVE     80.00%			21.72		46.04		THAT'S A WALL!
	28.03		UP    to WALL    and ALIVE     80.00%			35.56		28.12		THAT'S A WALL!
	45.90		UP    to WALL    and ALIVE     80.00%			21.73		46.02		THAT'S A WALL!
	65.90		UP    to WALL    and ALIVE     80.00%			15.12		66.13		THAT'S A WALL!
	58.00		UP    to WALL    and FROG GONE 80.00%			17.12		58.41		EAGLE GOT A FROG
	30.16		UP    to WALL    and ALIVE     80.00%			32.92		30.38		THAT'S A WALL!
	19.56		UP    to WALL    and ALIVE     80.00%			51.00		19.61		THAT'S A WALL!
	35.91		UP    to WALL    and ALIVE     80.00%			27.70		36.11		THAT'S A WALL!
	51.01		UP    to WALL    and ALIVE     80.00%			19.52		51.24		THAT'S A WALL!
	48.47		UP    to WALL    and ALIVE     80.00%			20.53		48.70		THAT'S A WALL!
	40.18		LEFT  to GRASS   and ALIVE     76.67%			24.88		40.19		
	21.17		LEFT  to WALL    and ALIVE     76.67%			46.81		21.36		THAT'S A WALL!
	32.39		LEFT  to WALL    and ALIVE     76.67%			30.77		32.50		THAT'S A WALL!
	56.09		LEFT  to WALL    and ALIVE     76.67%			17.76		56.31		THAT'S A WALL!
	64.49		DOWN  to GRASS   and ALIVE     73.33%			15.50		64.51		
	38.89		DOWN  to GRASS   and ALIVE     70.00%			25.70		38.91		
	18.56		DOWN  to GRASS   and ALIVE     66.67%			53.87		18.56		
	16.82		DOWN  to GRASS   and ALIVE     63.33%			59.44		16.82		
	37.12		DOWN  to GRASS   and ALIVE     60.00%			26.93		37.13		
	25.25		DOWN  to GRASS   and ALIVE     56.67%			39.59		25.26		
	27.22		DOWN  to GRASS   and ALIVE     53.33%			36.72		27.23		
	15.30		DOWN  to GRASS   and ALIVE     50.00%			65.33		15.31		
	15.94		DOWN  to GRASS   and ALIVE     46.67%			62.69		15.95		
	15.10		DOWN  to GRASS   and ALIVE     43.33%			66.18		15.11		
	15.98		DOWN  to WORM    and ALIVE     90.00%			62.25		16.07		WORM EATEN
	56.44		DOWN  to GRASS   and ALIVE     86.67%			17.71		56.47		
	20.73		DOWN  to GRASS   and ALIVE     83.33%			48.21		20.74		
	14.64		RIGHT to GRASS   and ALIVE     80.00%			68.26		14.65		
	35.15		RIGHT to GRASS   and ALIVE     76.67%			28.43		35.17		
	32.09		RIGHT to GRASS   and ALIVE     73.33%			31.15		32.10		
	31.88		RIGHT to GRASS   and ALIVE     70.00%			31.36		31.89		
	32.26		RIGHT to GRASS   and ALIVE     66.67%			30.99		32.27		
	34.45		RIGHT to GRASS   and ALIVE     63.33%			29.02		34.46		
	32.25		UP    to GRASS   and ALIVE     60.00%			30.99		32.26		
	51.10		LEFT  to GRASS   and ALIVE     56.67%			19.56		51.12		
